Time,Force_Node1_LTD,Force_Node2_LTD,Force_Node3_LTD,Force_Node4_LTD,Force_Node5_LTD,Force_Node6_LTD,Force_Node7_LTD,Force_Node8_LTD,Force_Node9_LTD,Force_Node10_LTD,Force_Node11_LTD,Force_Node12_LTD,Force_Node13_LTD,Force_Node14_LTD,Force_Node15_LTD
5.2,423.14,395.55,353.76,319.13,300.27,278.15,258.71,239.58,200.06,164.51,153.93,91.45,91.2,,
5.3,423.54,395.29,353.5,318.93,300.86,278.21,258.7,,,,,91.88,92.02,,
5.4,423.5,395.31,353.67,318.93,300.56,277.78,258.6,,,,,91.97,91.22,,
5.5,423.21,395.04,353.45,319.21,300.49,277.83,258.54,,,,,91.64,92.3,,
5.6,424.25,395.87,353.22,318.59,300.34,277.77,258.56,,,,,91.46,91.93,,
5.7,423.39,395.43,353.6,318.68,300.53,277.93,,,,,,91.69,,,
5.8,424.1,395.41,353.95,318.85,300.45,278.19,,,,,,91.71,,,
5.9,424.18,395.14,352.94,318.79,300.11,277.95,,,,,,92.02,,,
6,423.21,395.06,353.23,318.88,300.08,277.88,,,,,,91.77,,,
6.1,423.96,395.06,352.98,319.07,300.23,,,,,,,,,,
6.2,423.27,395.15,353.01,318.87,300.42,,,,,,,,,,
6.3,423.43,395.21,353.23,318.54,300.46,,,,,,,,,,
6.4,423.46,395.36,353.3,318.85,300.39,,,,,,,,,,
6.5,423.43,395.26,353.66,,,,,,,,,,,,
6.6,423.52,395.08,352.97,,,,,,,,,,,,
6.7,422.92,395.16,352.93,,,,,,,,,,,,
6.8,423.02,395.37,353.12,,,,,,,,,,,,
6.9,422.83,395.51,352.83,,,,,,,,,,,,
