x [mm];y [mm];z-displacement [mm]
78.201;-252.852;0
76.6655;-252.852;0
75.13;-252.852;0
73.5945;-252.852;0
72.059;-252.852;0
70.5235;-252.852;0
68.988;-252.852;0
67.4525;-252.852;0
65.917;-252.852;0
64.3815;-252.852;0
62.846;-252.852;0
61.3105;-252.852;0
59.775;-252.852;0
58.2395;-252.852;0
56.704;-252.852;0
55.1685;-252.852;0
53.633;-252.852;0
52.0975;-252.852;0
50.562;-252.852;0
49.0265;-252.852;0
47.491;-252.852;0
45.9555;-252.852;0
44.42;-252.852;0
42.8845;-252.852;0
41.349;-252.852;0
39.8135;-252.852;0
38.278;-252.852;0
36.7425;-252.852;0
35.207;-252.852;0
33.6715;-252.852;0
32.136;-252.852;0
30.6005;-252.852;0
29.065;-252.852;0
27.5295;-252.852;0
25.994;-252.852;0
24.4585;-252.852;0
22.923;-252.852;0
21.3875;-252.852;0
19.852;-252.852;0
18.3165;-252.852;0
16.781;-252.852;0
15.2455;-252.852;0
13.71;-252.852;0
12.1745;-252.852;0
10.639;-252.852;0
9.1035;-252.852;0
7.568;-252.852;0
6.0325;-252.852;0
4.497;-252.852;0
2.9615;-252.852;0
1.426;-252.852;0
-0.1095;-252.852;0
-1.645;-252.852;0
-3.1805;-252.852;0
-4.716;-252.852;0
-6.2515;-252.852;0
-7.787;-252.852;0
-9.3225;-252.852;0
-10.858;-252.852;0
-12.3935;-252.852;0
-13.929;-252.852;0
-15.4645;-252.852;0
-17;-252.852;0
-18.5355;-252.852;0
-20.071;-252.852;0
-21.6065;-252.852;0
-23.142;-252.852;0
-24.6775;-252.852;0
-26.213;-252.852;0
-27.7485;-252.852;0
-29.284;-252.852;0
-30.8195;-252.852;0
-32.355;-252.852;0
-33.8905;-252.852;0
-35.426;-252.852;0
-36.9615;-252.852;0
-38.497;-252.852;0
-40.0325;-252.852;0
-41.568;-252.852;0
-43.1035;-252.852;0
-44.639;-252.852;0
-46.1745;-252.852;0
-47.71;-252.852;0
-49.2455;-252.852;0
-50.781;-252.852;0
-52.3165;-252.852;0
-53.852;-252.852;0
-55.3875;-252.852;0
-56.923;-252.852;0
-58.4585;-252.852;0
-59.994;-252.852;0
-61.5295;-252.852;0
-63.065;-252.852;0
-64.6005;-252.852;0
-66.136;-252.852;0
-67.6715;-252.852;0
-69.207;-252.852;0
-70.7425;-252.852;0
-72.278;-252.852;0
-73.8135;-252.852;0
-75.349;-252.852;0
-76.8845;-252.852;0
-78.42;-252.852;0
-79.9555;-252.852;0
-81.491;-252.852;0
-83.0265;-252.852;0
-84.562;-252.852;0
-86.0975;-252.852;0
-87.633;-252.852;0
-89.1685;-252.852;0
-90.704;-252.852;0
-92.2395;-252.852;0
-93.775;-252.852;0
-95.3105;-252.852;0
-96.846;-252.852;0
-98.3815;-252.852;0
-99.917;-252.852;0
-101.453;-252.852;0
-102.988;-252.852;0
-104.524;-252.852;0
-106.059;-252.852;0
-107.595;-252.852;0
-109.13;-252.852;0
-110.666;-252.852;0
-112.201;-252.852;0
-113.737;-252.852;0
-115.272;-252.852;0
-116.808;-252.852;0
-118.343;-252.852;0
-119.879;-252.852;0
-121.414;-252.852;0
-122.95;-252.852;0
-124.485;-252.852;0
-126.021;-252.852;0
-127.556;-252.852;0
-129.092;-252.852;0
-130.627;-252.852;0
-132.163;-252.852;0
-133.698;-252.852;0
-135.234;-252.852;0
-136.769;-252.852;0
-138.305;-252.852;0
-139.84;-252.852;0
-141.376;-252.852;0
-142.911;-252.852;0
-144.447;-252.852;0
-145.982;-252.852;0
-147.518;-252.852;0
-149.053;-252.852;0
-150.589;-252.852;0
-152.124;-252.852;0
-153.66;-252.852;0
-155.195;-252.852;0
-156.731;-252.852;0
-158.266;-252.852;0
-159.802;-252.852;0
-161.337;-252.852;0
-162.873;-252.852;0
-164.408;-252.852;0
-165.944;-252.852;0
-167.479;-252.852;0
-169.015;-252.852;0
-170.55;-252.852;0
-172.086;-252.852;0
-173.621;-252.852;0
-175.157;-252.852;0
-176.692;-252.852;0
-178.228;-252.852;0
-179.763;-252.852;0
-181.299;-252.852;0
-182.834;-252.852;0
-184.37;-252.852;0
-185.905;-252.852;0
-187.441;-252.852;0
-188.976;-252.852;0
-190.512;-252.852;0
-192.047;-252.852;0
-193.583;-252.852;0
-195.118;-252.852;0
-196.654;-252.852;0
-198.189;-252.852;0
-199.725;-252.852;0
-201.26;-252.852;0
-202.796;-252.852;0
-204.331;-252.852;0
-205.867;-252.852;0
-207.402;-252.852;0
-208.938;-252.852;0
-210.473;-252.852;0
-212.009;-252.852;0
-213.544;-252.852;0
-215.08;-252.852;0
-216.615;-252.852;0
-218.151;-252.852;0
-219.686;-252.852;0
-221.222;-252.852;0
-222.757;-252.852;0
-224.293;-252.852;0
-225.828;-252.852;0
-227.364;-252.852;0
-228.899;-252.852;0
-230.435;-252.852;0
-231.97;-252.852;0
-233.506;-252.852;0
-235.041;-252.852;0
-236.577;-252.852;0
-238.112;-252.852;0
-239.648;-252.852;0
-241.183;-252.852;0
-242.719;-252.852;0
-244.254;-252.852;0
-245.79;-252.852;0
-247.325;-252.852;0
-248.861;-252.852;0
-250.396;-252.852;0
-251.932;-252.852;0
-253.467;-252.852;0
-255.003;-252.852;0
-256.538;-252.852;0
-258.074;-252.852;0
-259.609;-252.852;0
-261.145;-252.852;0
-262.68;-252.852;0
-264.216;-252.852;0
-265.751;-252.852;0
-267.287;-252.852;0
-268.822;-252.852;0
-270.358;-252.852;0
-271.893;-252.852;0
-273.429;-252.852;0
-274.964;-252.852;0
-276.5;-252.852;0
-278.035;-252.852;0
-279.571;-252.852;0
-281.106;-252.852;0
-282.642;-252.852;0
-284.177;-252.852;0
-285.713;-252.852;0
-287.248;-252.852;0
-288.784;-252.852;0
-290.319;-252.852;0
-291.855;-252.852;0
277.816;-251.316;0
276.28;-251.316;0
274.745;-251.316;0
273.209;-251.316;0
271.674;-251.316;0
270.138;-251.316;0
268.603;-251.316;0
267.067;-251.316;0
265.532;-251.316;0
263.996;-251.316;0
262.461;-251.316;0
260.925;-251.316;0
259.39;-251.316;0
257.854;-251.316;0
256.319;-251.316;0
254.783;-251.316;0
253.248;-251.316;0
251.712;-251.316;0
250.177;-251.316;0
248.641;-251.316;0
247.106;-251.316;0
245.57;-251.316;0
244.035;-251.316;0
242.499;-251.316;0
240.964;-251.316;0
239.428;-251.316;0
237.893;-251.316;0
236.357;-251.316;0
234.822;-251.316;0
233.286;-251.316;0
231.751;-251.316;0
230.215;-251.316;0
228.68;-251.316;0
227.144;-251.316;0
225.609;-251.316;0
224.073;-251.316;0
222.538;-251.316;0
221.002;-251.316;0
219.467;-251.316;0
217.931;-251.316;0
216.396;-251.316;0
214.86;-251.316;0
213.325;-251.316;0
211.789;-251.316;0
210.254;-251.316;0
208.718;-251.316;0
207.183;-251.316;0
205.647;-251.316;0
204.112;-251.316;0
202.576;-251.316;0
201.041;-251.316;0
199.505;-251.316;0
197.97;-251.316;0
196.434;-251.316;0
194.899;-251.316;0
193.363;-251.316;0
191.828;-251.316;0
190.292;-251.316;0
188.757;-251.316;0
187.221;-251.316;0
185.686;-251.316;0
184.15;-251.316;0
182.615;-251.316;0
181.079;-251.316;0
179.544;-251.316;0
178.008;-251.316;0
176.473;-251.316;0
174.937;-251.316;0
173.402;-251.316;0
171.866;-251.316;0
170.331;-251.316;0
168.795;-251.316;0
167.26;-251.316;0
165.724;-251.316;0
164.189;-251.316;0
162.653;-251.316;0
161.118;-251.316;0
159.582;-251.316;0
158.047;-251.316;0
156.511;-251.316;0
154.976;-251.316;0
